nu,block_size,scale_format,round_mode,rht,slope,slope_ci_low,slope_ci_high,gap_from_theoretical,intercept,c_hat,bucket,positive_slope_flag,n_resamples
30,16,e8m0,rtne,False,-0.49387198255521275,-0.4942444298708362,-0.4935195865008368,0.006128017444787248,-0.7785619273292081,1.556016305208713,weakening (slower decay than -0.5),False,2000
30,32,e8m0,sr,False,-0.4852706155911963,-0.48566340202471847,-0.4848454738761287,0.014729384408803725,-0.6303906988393235,1.7508088594364986,weakening (slower decay than -0.5),False,2000
30,32,e8m0,rtne,True,-0.48846884047591,-0.4889066878120049,-0.4880515693329518,0.011531159524090007,-0.7832557503454447,1.488445823453327,weakening (slower decay than -0.5),False,2000
1,32,e4m3,rtne,False,-0.08525159555475884,-0.0858474066229012,-0.08471770067715165,0.4147484044452412,-0.8965063569777061,0.8901732186655589,weakening (slower decay than -0.5),False,2000
5,32,e8m0,sr,False,-0.4626508660989262,-0.4631465060115394,-0.4622180584478591,0.037349133901073805,-0.5951672336848981,1.7610274504566354,weakening (slower decay than -0.5),False,2000
15,32,e4m3,rtne,False,-0.48336685081181424,-0.48373687087162737,-0.4829911423296559,0.01663314918818576,-0.8528962029755498,1.409488365247729,weakening (slower decay than -0.5),False,2000
1,16,e8m0,sr,True,-0.054147619666133635,-0.05467275874363875,-0.053734678284625824,0.44585238033386637,-0.7780948050085016,0.9760952940371781,weakening (slower decay than -0.5),False,2000
3,32,e8m0,rtne,True,-0.45421208096968774,-0.4544351113282654,-0.45399650564834265,0.04578791903031226,-0.738751946465392,1.4426586146928964,weakening (slower decay than -0.5),False,2000
2,32,e4m3,rtne,True,-0.3519776433327404,-0.35229181913914837,-0.3516733537316191,0.1480223566672596,-0.8502112208404672,1.1648059909367334,weakening (slower decay than -0.5),False,2000
15,32,e8m0,sr,True,-0.4849021260595918,-0.4853252679824745,-0.484366128713826,0.01509787394040818,-0.6294077154763573,1.7296146652871143,weakening (slower decay than -0.5),False,2000
15,32,e8m0,sr,False,-0.4828775267241116,-0.4833426574464887,-0.4822861739831064,0.017122473275888395,-0.6239204532456937,1.7570345702296626,weakening (slower decay than -0.5),False,2000
3,16,e4m3,sr,False,-0.45159046208729814,-0.45181993238957424,-0.4513251335831896,0.04840953791270186,-0.6780415899338612,1.7098584847897549,weakening (slower decay than -0.5),False,2000
1,32,e8m0,rtne,True,-0.048611853394954274,-0.049106931519193396,-0.0481097816205292,0.4513881466050457,-0.9034331913174058,0.8192596920697632,weakening (slower decay than -0.5),False,2000
3,32,e4m3,sr,False,-0.4274449406377076,-0.4276953080868646,-0.4271895913722949,0.0725550593622924,-0.6849750786011544,1.5364301920631915,weakening (slower decay than -0.5),False,2000
15,16,e4m3,sr,False,-0.49003731013368496,-0.49044714819096313,-0.48968027641053863,0.009962689866315044,-0.7039945347932988,1.7527337604019408,weakening (slower decay than -0.5),False,2000
8,32,e8m0,rtne,False,-0.4799638046614364,-0.4804957715088357,-0.4795573456096467,0.0200361953385636,-0.7580100710546278,1.5265428059918904,weakening (slower decay than -0.5),False,2000
gaussian,16,e4m3,rtne,True,-0.49452025683467227,-0.4949975573192804,-0.49417567424785946,0.005479743165327733,-0.864090925946656,1.4542797928172955,weakening (slower decay than -0.5),False,2000
8,16,e8m0,rtne,True,-0.4902773939135318,-0.49063091307185847,-0.4899186414506699,0.009722606086468188,-0.7682342944189209,1.55452081445683,weakening (slower decay than -0.5),False,2000
2,16,e4m3,sr,False,-0.37282108877780634,-0.3731392081423078,-0.3725314979820084,0.12717891122219366,-0.7069755225403516,1.4966341009004807,weakening (slower decay than -0.5),False,2000
5,16,e4m3,sr,False,-0.48113246307957075,-0.4814966005580152,-0.48066361183477696,0.01886753692042925,-0.6853633848764038,1.771311931120554,weakening (slower decay than -0.5),False,2000
2,16,e4m3,rtne,False,-0.38312511854744635,-0.3834402646427005,-0.38283071832887144,0.11687488145255365,-0.8418799631538043,1.319646154199504,weakening (slower decay than -0.5),False,2000
2,32,e8m0,rtne,False,-0.3350981655065679,-0.33539340357216196,-0.33481414552492744,0.1649018344934321,-0.7329056600911525,1.3548951965282205,weakening (slower decay than -0.5),False,2000
5,32,e4m3,rtne,False,-0.47049069117068043,-0.4710162309164363,-0.47004006162835615,0.02950930882931957,-0.8341974118272639,1.39990492886271,weakening (slower decay than -0.5),False,2000
2,16,e8m0,rtne,False,-0.3635181422699908,-0.36382186946720835,-0.3631541919569314,0.1364818577300092,-0.7259791387949277,1.5012110241515209,weakening (slower decay than -0.5),False,2000
15,32,e4m3,sr,True,-0.48039526372054947,-0.4809025938504925,-0.48003094152034337,0.01960473627945053,-0.7032510789156146,1.6695014031299598,weakening (slower decay than -0.5),False,2000
5,16,e4m3,rtne,False,-0.4867912945520862,-0.48714954793838566,-0.4864170152423797,0.013208705447913804,-0.8310575729132006,1.500696316928621,weakening (slower decay than -0.5),False,2000
15,32,e8m0,rtne,False,-0.48609316165724764,-0.48661498432265793,-0.4856837343735816,0.013906838342752359,-0.7716316611338785,1.5096224042782547,weakening (slower decay than -0.5),False,2000
30,32,e4m3,sr,False,-0.48199199995303416,-0.48231181517872995,-0.48163499209617167,0.018008000046965844,-0.7071429367630049,1.6716184937824003,weakening (slower decay than -0.5),False,2000
15,32,e4m3,rtne,True,-0.48361193989156487,-0.48400283903520075,-0.48325549341100094,0.016388060108435132,-0.8518787662363341,1.4128492058366546,weakening (slower decay than -0.5),False,2000
gaussian,32,e4m3,sr,False,-0.4831714021859229,-0.4835916223110372,-0.4827177035320835,0.016828597814077084,-0.7107354210647647,1.6732187031686643,weakening (slower decay than -0.5),False,2000
