nu,n,round_mode,rht,n_trials_per_cell,effect_block,effect_block_ci_low,effect_block_ci_high,effect_scale,effect_scale_ci_low,effect_scale_ci_high,interaction,interaction_ci_low,interaction_ci_high,effect_block_significant,effect_scale_significant,interaction_significant,dominant_factor
8,256,sr,True,1000,-0.05025478829144969,-0.060858056262678054,-0.03554955757361446,-0.14506961141778874,-0.14740174584802548,-0.14350139439726114,-0.031782408293056896,-0.034753228829307356,-0.02832038516072349,True,True,True,scale
8,1024,rtne,False,1000,-0.06784559572439885,-0.07342023473475205,-0.06486822303888751,-0.2143454962525233,-0.21733928889535797,-0.21113104528173915,-0.030277667813707332,-0.03300828181536577,-0.027581851658508485,True,True,True,scale
8,1024,rtne,True,1000,-0.04617892554183278,-0.051024143727572246,-0.045167472645085936,-0.14909498269646004,-0.15150602813638234,-0.14638287227436927,-0.033169387458977795,-0.03648018903244561,-0.03073872733066265,True,True,True,scale
8,1024,sr,False,1000,-0.06895490216113931,-0.07423764023499135,-0.06410183373781386,-0.20873186216692385,-0.21128765737071661,-0.20501885077135878,-0.026662203370638515,-0.02909506431329061,-0.02401580353052526,True,True,True,scale
8,1024,sr,True,1000,-0.03633124534695753,-0.04697743638800311,-0.03345037024527565,-0.14514964957188692,-0.14698840003934419,-0.14313944794318378,-0.02967614463794721,-0.03242948600815569,-0.0262196921968874,True,True,True,scale
8,4096,rtne,False,1000,-0.07984955835685259,-0.08555817645929498,-0.06630238416480783,-0.21708811437636566,-0.22104380006387273,-0.21488687029924242,-0.032179508979777616,-0.03522129715256959,-0.029364187540887033,True,True,True,scale
8,4096,rtne,True,1000,-0.04186059830676836,-0.04688745463820343,-0.039435942755274844,-0.14688027881438437,-0.1488888976506109,-0.144292176916658,-0.03205153775098424,-0.03480055950226761,-0.028950017624952043,True,True,True,scale
8,4096,sr,False,1000,-0.08111294947643088,-0.08493241736400403,-0.06333635478243416,-0.20767969266044695,-0.21117271777211644,-0.20472202346724303,-0.027432251422911058,-0.030198959419049418,-0.024961503750613526,True,True,True,scale
8,4096,sr,True,1000,-0.04445132316418032,-0.0543898932000085,-0.03543657022607327,-0.14601602421542914,-0.14777848018911593,-0.14361890788265372,-0.02899083954911319,-0.03175140139805579,-0.026636832454249616,True,True,True,scale
15,16,rtne,False,1000,-0.003556458305287169,-0.015105592132127477,0.004385207478104114,-0.1900037957046372,-0.19277057878970846,-0.18802629659112155,-0.0004956955467099178,-0.005345697341168376,0.004177618783444769,False,True,False,scale
15,16,rtne,True,1000,-0.004729272491055703,-0.020700713568693734,0.01891684633112254,-0.17022976533583423,-0.1721961583993971,-0.1679907179314685,0.001355463819153524,-0.00282603810130505,0.0059107772894493715,False,True,False,scale
15,16,sr,False,1000,0.004074837906133055,-0.005407208725073165,0.011189557923169887,-0.186731593237631,-0.18966210395120492,-0.1846384980169885,6.512019322046925e-05,-0.0054657103153626565,0.005122972925286504,False,True,False,scale
15,16,sr,True,1000,0.0007308329492219379,-0.011515858498794582,0.006860235052809741,-0.16790624267309795,-0.17031918285090544,-0.16486547613459412,0.005519533121640219,-0.0003516402759191065,0.009966586559055423,False,True,False,scale
15,64,rtne,False,1000,-0.044912298127233186,-0.05786295850407308,-0.04091419301449317,-0.17950865540660121,-0.18214497037400165,-0.17719576192975006,-0.034029201849727464,-0.03692038284249331,-0.030294169398738916,True,True,True,scale
15,64,rtne,True,1000,-0.05204644066148578,-0.06050031548472923,-0.044677865565157404,-0.156306499855297,-0.1581943182936374,-0.1537155271252162,-0.02930916282256346,-0.03226849132073554,-0.02615200695447724,True,True,True,scale
15,64,sr,False,1000,-0.057055229939847685,-0.062332023107407944,-0.043372829980315775,-0.17823686072424927,-0.18090469102122544,-0.1757274244612913,-0.03089105273291759,-0.0339936224683395,-0.027262543831647282,True,True,True,scale
15,64,sr,True,1000,-0.03153246952839783,-0.04517647812068504,-0.024602188281757975,-0.15192528254245286,-0.1546196961189265,-0.1501179749368559,-0.026895878544534124,-0.030823574313084058,-0.023589462401151798,True,True,True,scale
15,256,rtne,False,1000,-0.0611299834318082,-0.06941833522735141,-0.048538020930925185,-0.18482478732232277,-0.18700127779712206,-0.1823926125838325,-0.03710213825995545,-0.039698666406283764,-0.03419908788780766,True,True,True,scale
15,256,rtne,True,1000,-0.05453658106230286,-0.06073861070220765,-0.047442643630216885,-0.15393590511720667,-0.15588053619280176,-0.1519926129040648,-0.029415298265240253,-0.032653049402439606,-0.02685605819764043,True,True,True,scale
15,256,sr,False,1000,-0.062240108972293484,-0.06501992361298825,-0.054635882320090874,-0.17865759632545242,-0.18082877299766084,-0.17589304961306423,-0.028364190257899935,-0.031449456943092,-0.02493465553048819,True,True,True,scale
15,256,sr,True,1000,-0.046630916064178685,-0.05484811030505643,-0.04163900779149898,-0.1525062930424017,-0.15462796339503065,-0.15036145905387138,-0.027007971320225366,-0.030058390510456067,-0.023425701941014614,True,True,True,scale
15,1024,rtne,False,1000,-0.05099965325845446,-0.05863327405423391,-0.04571130930921807,-0.18593763657609763,-0.18871305110776496,-0.18333255260333392,-0.03228885333937992,-0.03523888683167853,-0.029598008069598558,True,True,True,scale
